Time (UTC),Spot Price 2025,Spot Price 2035,Spot Price 2045,DA forecast,Realised production
2014-01-19 21.59.57,25.205,47.722,43.771,1,0.9801
2014-01-19 22.59.57,25.051,47.722,43.771,1,0.9797
2014-01-19 23.59.57,31.602,48.98,46.584,1,0.9771
2014-01-20 00.59.57,31.602,48.98,46.584,1,0.9747
2014-01-20 01.59.57,31.602,48.98,46.584,1,0.971
2014-01-20 02.59.57,31.602,48.98,46.584,1,0.9543
2014-01-20 03.59.57,31.602,48.98,46.584,1,0.9493
2014-01-20 04.59.57,31.791,48.98,46.584,1,0.9437
2014-01-20 05.59.57,32.115,44.396,44.718,1,0.951
2014-01-20 06.59.57,32.82,48.597,44.677,1,0.9538
2014-01-20 07.59.57,32.669,48.597,44.86,0.9999,0.928
2014-01-20 08.59.57,32.115,46.841,44.677,0.9874,0.8727
2014-01-20 09.59.57,31.989,46.441,44.677,0.8435,0.6185
2014-01-20 10.59.57,32.407,46.441,44.718,0.8801,0.6794
2014-01-20 11.59.57,32.651,46.441,44.86,0.8843,0.695
2014-01-20 12.59.57,33.768,48.98,45.974,0.939,0.7141
2014-01-20 13.59.57,33.861,48.98,46.015,0.9443,0.7646
2014-01-20 14.59.56,32.651,49.281,46.584,0.9379,0.7229
2014-01-20 15.59.56,32.651,49.281,46.584,0.9499,0.6928
2014-01-20 16.59.56,32.661,49.281,46.584,0.9478,0.6612
2014-01-20 17.59.56,32.661,49.281,46.584,0.966,0.6745
2014-01-20 18.59.56,32.661,49.281,46.584,0.9575,0.6597
2014-01-20 19.59.56,32.651,49.281,46.584,0.8721,0.6227
2014-01-20 20.59.56,32.651,49.281,46.584,0.7815,0.5863
2014-01-20 21.59.56,32.651,50.443,46.584,0.6754,0.515
2014-01-20 22.59.56,31.691,49.815,46.584,0.7606,0.5188
2014-01-20 23.59.56,32.78,49.276,44.922,0.4603,0.5222
2014-01-21 00.59.56,32.78,49.276,44.922,0.4172,0.4995
2014-01-21 01.59.56,32.78,49.276,44.922,0.3648,0.4457
2014-01-21 02.59.56,32.78,49.276,44.922,0.3289,0.3873
2014-01-21 03.59.56,32.78,49.276,44.922,0.3091,0.3812
2014-01-21 04.59.56,33.992,49.276,45.076,0.2768,0.3943
2014-01-21 05.59.56,36.016,48.652,43.063,0.2601,0.3732
2014-01-21 06.59.56,37.86,49.651,44.683,0.2126,0.3433
2014-01-21 07.59.56,46.498,49.931,44.718,0.2347,0.3229
2014-01-21 08.59.56,46.498,50.477,44.683,0.2277,0.3262
2014-01-21 09.59.56,42.84,50.872,44.683,0.1965,0.2808
2014-01-21 10.59.56,39.23,51.094,44.683,0.1594,0.271
2014-01-21 11.59.56,42.637,51.395,44.714,0.1549,0.3024
2014-01-21 12.59.56,42.637,51.395,44.744,0.1848,0.3374
2014-01-21 13.59.56,41.045,51.386,44.873,0.2201,0.3387
2014-01-21 14.59.56,36.702,50.869,44.922,0.2187,0.3407
2014-01-21 15.59.56,35.849,49.521,44.922,0.1897,0.3629
2014-01-21 16.59.56,34.617,49.429,44.922,0.1876,0.3772
2014-01-21 17.59.56,34.617,49.429,44.922,0.1929,0.3831
2014-01-21 18.59.56,34.497,49.276,44.922,0.2324,0.3943
2014-01-21 19.59.56,33.939,49.276,44.922,0.2261,0.386
2014-01-21 20.59.56,33.375,49.276,44.922,0.2474,0.3793
2014-01-21 21.59.56,33.99,49.276,44.922,0.3126,0.3912
2014-01-21 22.59.56,32.78,49.276,44.922,0.3907,0.4332
2014-01-21 23.59.56,36.891,51.324,46.035,0.7317,0.4948
2014-01-22 00.59.56,36.891,51.324,46.035,0.7451,0.5258
2014-01-22 01.59.56,36.891,51.324,46.035,0.7195,0.5185
2014-01-22 02.59.56,36.891,51.324,46.035,0.6857,0.4858
2014-01-22 03.59.56,36.891,51.324,46.035,0.6697,0.4603
2014-01-22 04.59.56,38.692,51.324,46.035,0.6879,0.4444
2014-01-22 05.59.56,42.199,51.27,44.584,0.8047,0.4565
2014-01-22 06.59.56,45.366,51.324,45.607,0.8616,0.4851
2014-01-22 07.59.56,45.366,51.528,45.18,0.8472,0.4979
2014-01-22 08.59.56,45.366,51.324,43.893,0.8478,0.5024
2014-01-22 09.59.56,45.548,51.324,43.893,0.9091,0.4937
2014-01-22 10.59.56,46.667,51.49,44.742,0.8828,0.4812
2014-01-22 11.59.56,47.806,51.521,44.899,0.8671,0.4617
2014-01-22 12.59.56,52.374,52.662,46.03,0.868,0.4648
2014-01-22 13.59.56,54.109,52.662,46.03,0.8601,0.4642
2014-01-22 14.59.56,49.68,51.711,46.035,0.8513,0.4576
