time,Spot price 2025,Spot price 2035,Spot price 2045,DA forecast,Realised production
24/01/1985 12.00,31.428,43.952,50.13,0.2947,0.4825
24/01/1985 13.00,31.6,44.681,50.3,0.226,0.3632
24/01/1985 14.00,32.748,45.194,51.214,0.1323,0.2895
24/01/1985 15.00,32.824,48.044,53.369,0.0079,0.1406
24/01/1985 16.00,34.081,49.981,53.868,0,0.025
24/01/1985 17.00,35.248,49.981,53.868,0,0
24/01/1985 18.00,34.541,49.676,53.868,0,0
24/01/1985 19.00,32.92,49.533,53.868,0,0
24/01/1985 20.00,32.798,49.533,53.868,0,0
24/01/1985 21.00,32.622,49.533,53.868,0,0
24/01/1985 22.00,31.76,49.176,53.868,0,0
24/01/1985 23.00,32.104,49.176,53.868,0,0
